"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RPEL6LHB","journalArticle","2021","Pedersen, Helene Helboe; Borghetto, Enrico","Fighting COVID-19 on Democratic Terms. Parliamentary Functioning in Italy and Denmark during the Pandemic","Representaiton","","","0.1080/00344893.2021.1973546","","The COVID-19 pandemic challenged parliamentary decisionmaking, which is normally based on time-consuming deliberation and scrutiny. We ask how national parliaments met this challenge during the ﬁrst wave in the spring 2020, and we argue that institutional powers of the executive designed to handle crises just like a pandemic, paradoxically, increase challenges to democratic decision-making because the parliament misses opportunities to negotiate institutional adjustments accommodating pressure of government takeover. We evaluate this argument based on a comparative study of parliamentary activity in Italy and Denmark during the ﬁrst wave of COVID-19 and ﬁnd that both parliaments came under pressure with regard to law-making and control, but only the Danish parliament was able to install eﬀective mechanisms to regain lost powers. It is too early to conclude on parliamentary consequences of COVID19, but our study suggests that parliamentary reforms in response to the COVID-19 democratic challenges will mainly manifest in political systems without strong institutions to handle states of emergency.","2021","2021-09-06 15:36:28","2023-03-12 13:53:48","","401-418","","4","57","","","","","","","","","","en","All rights reserved","","","","Zotero","","","","/Users/eborghetto/Documents/Zotero/storage/Pedersen_Borghetto_2021_Fighting COVID-19 on Democratic Terms.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2D7RYET5","bookSection","2021","Bevan, Shaun; Borghetto, Enrico; Seeberg, Henrik","The politics of parliamentary agenda-setting styles","The Routledge Handbook of Policy Styles","978-0-367-25143-7","","","","Policy styles in parliamentary agenda setting follow both institutional and political processes. While the rules that govern the core agenda-setting tool of parliamentary questions vary from country to country affecting how many and who can ask questions, more universal rules concerning parliamentary seats, the effect of opposition parties, and the role niche parties play have common effects across all parliaments. To test these common effects while accounting for institutional differences, we consider how they drive the scope (the range of issues) of parliamentary questions asked by political parties across six Western European countries for an extended period of time. Our results show that while institutional differences driving the number of questions affects scope as does the length of a cabinet, notable effects for the number of parliamentary seats, opposition parties, and green parties on scope exist cross-nationally. Our work suggests that when it comes to parliamentary attention, both institutions and common differences in political party styles are important drivers.","2021","2021-07-17 17:08:35","2021-09-07 12:53:02","","244-256","","","","","","","","","","","Routledge","","","All rights reserved","","","","","","Num Pages: 13","","/Users/eborghetto/Documents/To_read/Bevan et al. - 2021 - The politics of parliamentary agenda-setting styles 2.pdf","","","","Howlett, Michael; Tosun, Jale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GUMMGCJI","bookSection","2018","Borghetto, Enrico","Anti-Populismo","Dicionário dos Antis: A cultura Portuguesa em negativo","978-972-27-2716-7","","","https://www.wook.pt/livro/dicionario-dos-antis-jose-eduardo-franco/22693210","","2018","2019-01-24 19:14:32","2020-07-05 12:53:05","2019-01-24 19:14:32","1482-1485","","","2","","","","","","","","INCM – Imprensa Nacional Casa da Moeda","Lisbon","pt-PT","All rights reserved","","","","","","","","","","populism","","Franco, José Eduardo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BDM5CZ94","journalArticle","2018","Lisi, Marco; Borghetto, Enrico","Populism, Blame Shifting and the Crisis: Discourse Strategies in Portuguese Political Parties","South European Society and Politics","","1360-8746","10.1080/13608746.2018.1558606","https://doi.org/10.1080/13608746.2018.1558606","Populist parties have been gaining ground in European political systems. Against this backcloth, Portugal stands out as the only Southern European country in which traditional mainstream parties have not faced a sharp rise in populist challengers. This article relies on content analysis of election manifestos to examine the use of populist claims by the main Portuguese parties before and after the crisis (1995–2015). Our findings reveal that populist rhetoric has been used mainly by left-wing radical parties as a wedge to disrupt a decade-old status quo. Moreover, we did not find a significant increase in the frequency of populist rhetorical elements after the crisis, either in mainstream or challenger parties. Overall, in the Portuguese case, ideology is the most important factor that explains the adoption of a populist discourse.","2018-10-02","2019-02-11 11:13:29","2020-07-05 12:52:59","2019-02-11 11:13:29","405-427","","4","23","","","Populism, Blame Shifting and the Crisis","","","","","","","","All rights reserved","","","","Taylor and Francis+NEJM","","","","/Users/eborghetto/Documents/Zotero/storage/IY65RK3A/Lisi_Borghetto_2018_Populism, Blame Shifting and the Crisis.pdf","","populism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PMNAC7TX","journalArticle","2017","Borghetto, Enrico; Visconti, Francesco; Michieli, Marco","Government Agenda-Setting in Italian Coalitions. Testing the «Partisan Hypothesis» Using Italian Investiture Speeches 1979- 2014","Rivista Italiana di Politiche Pubbliche","","1722-1137","10.1483/87214","","","2017","2017-10-20 21:32:06","2018-03-12 10:30:00","","193-220","","2/2017","","","","","","","","","","","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/QQYT8GCS/Borghetto et al_2017_Government Agenda-Setting in Italian Coalitions.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4Y85RFBU","journalArticle","2018","Borghetto, Enrico; Russo, Federico","From agenda setters to agenda takers? The determinants of party issue attention in times of crisis","Party Politics","","1354-0688","10.1177/1354068817740757","https://doi.org/10.1177/1354068817740757","Question time represents one of the most relevant institutional arenas where parties compete to get their favourite issues on the parliamentary agenda. Parties select which issue to address by weighing up two commitments simultaneously: fulfilling the party mandate received by their voters at election time and responding to the current priorities of voters. This article assesses the extent to which the recent sovereign debt crisis impacted the way parties balance these two imperatives of democratic representation. Through the issue coding of around 10,000 parliamentary oral questions tabled in Italy, Portugal and Spain between 2003 and 2014, the analysis shows that the worsening of economic conditions intensified the impact of citizens’ priorities. However, there is no clear evidence of a decline in the importance of the party mandate for either the majority or opposition parties. These findings offer insights on the topic of party political representation in Southern Europe and whether it was affected by the Eurozone crisis.","2018-01-01","2018-01-17 18:32:21","2018-01-17 18:32:21","2018-01-17 18:32:21","65-77","","1","24","","Party Politics","From agenda setters to agenda takers?","","","","","","","en","All rights reserved","","","","SAGE Journals","","","","/Users/eborghetto/Documents/Zotero/storage/N67QARLN/Borghetto_Russo_2018_From agenda setters to agenda takers.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JXF3QEJQ","bookSection","2012","Borghetto, Enrico; Giuliani, Marco; Zucchini, Francesco","Leading governments and unwilling legislators. The European Union and the Italian Law making (1987-2006)","The Europeanization of Domestic Legislatures","","","","","","2012","2011-09-14 09:12:03","2012-05-04 07:29:55","","109-130","","","","","","","","","","","Springer","New York","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/Borghetto et al_2012_Leading governments and unwilling legislators.pdf","","","","Brouard, Sylvain; Costa, Olivier; König, Thomas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CVJP32VN","journalArticle","2012","Borghetto, Enrico; Giuliani, Marco","A Long Way to Tipperary: Time in the Italian Legislative Process 1987–2008","South European Society and Politics","","1360-8746","10.1080/13608746.2012.654619","http://www.tandfonline.com/doi/abs/10.1080/13608746.2012.654619","The Italian legislature does not enjoy widespread trust. At least one of the reasons has to be the perception of its inefficiency. Comparatively, the Italian law-making process is slow and most policy-makers complain about the difficulties experienced in trying to speed up the process. In spite of the political relevance of the topic, the issue has not attracted much scientific attention. This study tries to cover that void, focusing explicitly on the temporal dimension of law-making and analysing the duration of more than 3,000 laws approved during the period of 1987?2008: 21 years of intense Italian political history. Our exploratory analysis finds that successful proposals spend most of their time in those stages preceding the discussion in parliament, waiting to find room on the agenda. Concentrating on ordinary laws, we realise that the factors that expedite a legislative process are its sponsorship, the procedure adopted, the policy sector, and the timing of introduction, whereas the level of consensus is not associated with the duration of the process. The Italian legislature does not enjoy widespread trust. At least one of the reasons has to be the perception of its inefficiency. Comparatively, the Italian law-making process is slow and most policy-makers complain about the difficulties experienced in trying to speed up the process. In spite of the political relevance of the topic, the issue has not attracted much scientific attention. This study tries to cover that void, focusing explicitly on the temporal dimension of law-making and analysing the duration of more than 3,000 laws approved during the period of 1987?2008: 21 years of intense Italian political history. Our exploratory analysis finds that successful proposals spend most of their time in those stages preceding the discussion in parliament, waiting to find room on the agenda. Concentrating on ordinary laws, we realise that the factors that expedite a legislative process are its sponsorship, the procedure adopted, the policy sector, and the timing of introduction, whereas the level of consensus is not associated with the duration of the process.","2012","2012-03-05 20:20:54","2012-03-05 20:20:54","","23-44","","1","17","","","A Long Way to Tipperary","","","","","","","","All rights reserved","","","","Taylor&Francis","","","","/Users/eborghetto/Documents/Zotero/storage/Borghetto_Giuliani_2012_A Long Way to Tipperary.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TB64I77K","journalArticle","2010","Borghetto, Enrico; Carammia, Marcello","L’analisi comparata delle agende politiche: il Comparative Agendas Project","Rivista Italiana di Scienza Politica","","","","","","2010","2010-05-29 20:46:27","2011-01-24 17:12:56","","301-315","","Agosto 2010","2","","","","","","","","","","","All rights reserved","","","","","","","","/Users/eborghetto/Documents/Zotero/storage/Borghetto_Carammia_2010_L’analisi comparata delle agende politiche.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4GAV9KE","journalArticle","2015","Borghetto, Enrico","Challenging Italian centralism through the vertical shift of competences to the subnational and supranational levels","Contemporary Italian Politics","","2324-8823","10.1080/23248823.2014.1002260","http://dx.doi.org/10.1080/23248823.2014.1002260","This article shows that even though the high hopes of Italy’s most radical federalist advocates were largely dashed as the country remains a regionalised state within a less-than-federal European Union (EU), there have in fact been changes in the vertical allocation of competences since the early 1990s. The article maps these transformations in Italian democracy by tracing the formal transfer of national powers to subnational and EU levels. In addition, it portrays the driving forces behind this competence shift and discusses other outcomes of the process besides the changes in the Italian Constitution and EU Treaties. It concludes that central institutions have only adapted partially and incrementally to this formal transfer of powers.","2015","2015-02-06 15:01:29","2015-03-29 17:04:57","2015-02-06 15:01:29","58-75","","1","7","","","","","","","","","","","All rights reserved","","","","Taylor and Francis+NEJM","","","","/Users/eborghetto/Documents/Zotero/storage/77ZMJBN8/Borghetto_2015_Challenging Italian centralism through the vertical shift of competences to the.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
